id,source_account,customer_email,customer_name,customer_phone,location,product_name,booking_created_at,visit_datetime,status,participants,gross_amount,net_amount,paid_amount,end_time,promotion_name,booking_source,private_event,is_canceled,cancelation_time,cancelation_agent,creation_agent,last_change_time,last_change_agent,is_no_show,coupon_codes_json,is_member,membership_end
bookeo_stockholm_000001,stockholm,customer_allisonhill_stockholm_00001@example.com,Allison Hill,321.581.9600,Northern Sauna Stockholm,Sauna 120 min,2025-04-30T18:45:00,2025-05-27T18:45:00,completed,2,198.0,163.64,163.64,2025-05-27T20:45:00,,referral,false,false,,,system,2025-04-30T18:45:00,system,false,[],True,2025-11-07
bookeo_stockholm_000002,stockholm,customer_lancehoffman_stockholm_00002@example.com,Lance Hoffman,001-486-537-9402x654,Northern Sauna Stockholm,Sauna 60 min,2025-04-05T19:00:00,2025-05-27T19:00:00,completed,3,297.0,245.45,245.45,2025-05-27T20:00:00,,affiliate,false,false,,,system,2025-04-05T19:00:00,system,false,[],False,
bookeo_stockholm_000003,stockholm,customer_gabrielledav_stockholm_00003@example.com,Gabrielle Davis,855-394-0781,Northern Sauna Stockholm,Sauna 120 min,2025-05-05T18:00:00,2025-05-27T18:00:00,canceled,4,396.0,327.27,0.0,2025-05-27T20:00:00,Member discount,affiliate,false,true,2025-05-08T18:00:00,customer,system,2025-05-08T18:00:00,customer,false,[],True,2026-01-31
bookeo_stockholm_000004,stockholm,customer_sandramontgo_stockholm_00004@example.com,Sandra Montgomery,(993)710-3413x164,Northern Sauna Stockholm,Sauna 120 min,2025-05-16T14:45:00,2025-05-27T14:45:00,completed,3,297.0,245.45,245.45,2025-05-27T16:45:00,,facebook,false,false,,,system,2025-05-16T14:45:00,system,false,[],True,2025-07-25
bookeo_stockholm_000005,stockholm,customer_henrysantiag_stockholm_00005@example.com,Henry Santiago,001-719-228-3276x483,Northern Sauna Stockholm,Sauna 120 min,2025-04-11T11:15:00,2025-05-27T11:15:00,completed,4,396.0,327.27,327.27,2025-05-27T13:15:00,,facebook,false,false,,,system,2025-04-11T11:15:00,system,false,[],True,2026-03-26
bookeo_stockholm_000006,stockholm,customer_andrewstewar_stockholm_00006@example.com,Andrew Stewart,513-695-3767x242,Northern Sauna Stockholm,Sauna 120 min,2025-04-09T12:45:00,2025-05-27T12:45:00,completed,1,99.0,81.82,81.82,2025-05-27T14:45:00,,google,false,false,,,system,2025-04-09T12:45:00,system,false,[],False,
bookeo_helsinki_000001,helsinki,customer_jessicasilva_helsinki_00001@example.com,Jessica Silva,(332)887-1012x269,Northern Sauna Helsinki,Sauna 90 min,2025-04-23T17:45:00,2025-05-27T17:45:00,completed,3,297.0,245.45,245.45,2025-05-27T19:15:00,,instagram,false,false,,,system,2025-04-23T17:45:00,system,false,[],True,2026-01-02
bookeo_oslo_000001,oslo,customer_zacharyrice_oslo_00001@example.com,Zachary Rice,+1-401-984-5146,Northern Sauna Oslo,Sauna 60 min,2025-04-07T10:00:00,2025-05-27T10:00:00,completed,4,396.0,327.27,327.27,2025-05-27T11:00:00,,instagram,false,false,,,system,2025-04-07T10:00:00,system,false,[],False,
bookeo_oslo_000002,oslo,customer_nathancortez_oslo_00002@example.com,Nathan Cortez,728.914.8932x52880,Northern Sauna Oslo,Sauna 60 min,2025-05-02T14:15:00,2025-05-27T14:15:00,completed,3,297.0,245.45,245.45,2025-05-27T15:15:00,Member discount,facebook,false,false,,,system,2025-05-02T14:15:00,system,false,[],True,2026-02-13
bookeo_copenhagen_000001,copenhagen,customer_timothykoch_copenhagen_00001@example.com,Timothy Koch,430-639-1171x8227,Northern Sauna Copenhagen,Sauna 60 min,2025-04-16T12:15:00,2025-05-27T12:15:00,completed,3,297.0,245.45,245.45,2025-05-27T13:15:00,Member discount,affiliate,false,false,,,system,2025-04-16T12:15:00,system,false,[],False,
bookeo_copenhagen_000002,copenhagen,customer_lisabrandt_copenhagen_00002@example.com,Lisa Brandt,+1-534-565-7871,Northern Sauna Copenhagen,Sauna 90 min,2025-03-29T17:45:00,2025-05-27T17:45:00,completed,2,198.0,163.64,163.64,2025-05-27T19:15:00,,google,false,false,,,system,2025-03-29T17:45:00,system,false,[],True,2025-11-06
bookeo_copenhagen_000003,copenhagen,customer_alexspencer_copenhagen_00003@example.com,Alex Spencer,001-330-510-3105,Northern Sauna Copenhagen,Sauna 120 min,2025-04-13T17:00:00,2025-05-27T17:00:00,completed,3,297.0,245.45,245.45,2025-05-27T19:00:00,Spring offer,referral,false,false,,,system,2025-04-13T17:00:00,system,false,[],False,
bookeo_gothenburg_000001,gothenburg,customer_johnryan_gothenburg_00001@example.com,John Ryan,001-899-973-7631x1656,Northern Sauna Gothenburg,Sauna 90 min,2025-05-25T10:45:00,2025-05-27T10:45:00,completed,3,297.0,245.45,245.45,2025-05-27T12:15:00,,direct,false,false,,,system,2025-05-25T10:45:00,system,false,[],False,
bookeo_gothenburg_000002,gothenburg,customer_amyvaldez_gothenburg_00002@example.com,Amy Valdez,+1-410-665-1333x8726,Northern Sauna Gothenburg,Sauna 120 min,2025-04-22T11:45:00,2025-05-27T11:45:00,completed,5,495.0,409.09,409.09,2025-05-27T13:45:00,,gift_card,false,false,,,system,2025-04-22T11:45:00,system,false,[],True,2025-11-14
bookeo_gothenburg_000003,gothenburg,customer_shannonjones_gothenburg_00003@example.com,Shannon Jones,+1-910-980-1326,Northern Sauna Gothenburg,Sauna 120 min,2025-04-17T13:15:00,2025-05-27T13:15:00,completed,2,198.0,163.64,163.64,2025-05-27T15:15:00,,google,false,false,,,system,2025-04-17T13:15:00,system,false,[],True,2025-11-22
bookeo_bergen_000001,bergen,customer_jamesbrown_bergen_00001@example.com,James Brown,(206)247-4687x2343,Northern Sauna Bergen,Sauna 90 min,2025-05-19T19:30:00,2025-05-27T19:30:00,completed,5,495.0,409.09,409.09,2025-05-27T21:00:00,Member discount,facebook,false,false,,,system,2025-05-19T19:30:00,system,false,[],False,
bookeo_bergen_000002,bergen,customer_amysilva_bergen_00002@example.com,Amy Silva,582.208.1219x13619,Northern Sauna Bergen,Sauna 120 min,2025-04-20T13:00:00,2025-05-27T13:00:00,completed,4,396.0,327.27,327.27,2025-05-27T15:00:00,Member discount,google,false,false,,,system,2025-04-20T13:00:00,system,false,[],False,
bookeo_stockholm_000007,stockholm,customer_jennifersilv_stockholm_00007@example.com,Jennifer Silva,954.335.3462x47510,Northern Sauna Stockholm,Sauna 120 min,2025-05-26T20:30:00,2025-05-28T20:30:00,completed,2,198.0,163.64,163.64,2025-05-28T22:30:00,,referral,false,false,,,system,2025-05-26T20:30:00,system,false,[],False,
bookeo_stockholm_000008,stockholm,customer_danielbaker_stockholm_00008@example.com,Daniel Baker,(613)354-2784x980,Northern Sauna Stockholm,Sauna 60 min,2025-05-09T19:15:00,2025-05-28T19:15:00,completed,3,297.0,245.45,245.45,2025-05-28T20:15:00,,direct,false,false,,,system,2025-05-09T19:15:00,system,false,[],False,
